artist_count,released_year,released_month,released_day,streams,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
2,2010,1,1,1279434863,130,47,86,92,8,0,5,24
2,2023,2,2,233801632,160,69,61,71,33,0,31,20
1,2012,12,5,1481349984,144,73,87,70,6,0,28,5
3,2023,4,4,142095275,192,50,85,52,11,0,28,6
2,2022,6,17,618885532,163,54,40,67,0,0,9,17
1,2013,1,1,2011464183,122,66,48,71,6,0,12,4
2,2023,1,23,436027885,138,78,89,83,10,0,12,5
1,2004,7,13,657723613,96,86,74,80,33,0,8,6
3,2016,4,4,2713922350,104,77,36,63,1,0,36,5
1,2010,1,1,621660989,164,45,24,62,8,0,16,3
1,2020,3,20,1591223784,118,68,61,82,2,0,50,3
1,2010,5,25,950906471,81,68,51,60,3,0,19,10
1,1983,1,6,1593270737,117,82,73,45,54,0,7,3
1,2015,2,2,1410088830,174,45,10,37,97,25,64,4
2,2011,1,1,1235005533,128,73,60,77,3,0,11,4
1,2012,12,5,1661187319,145,60,43,27,94,0,14,4
1,2018,5,25,1374581173,150,65,51,55,73,0,14,3
3,2023,6,2,94186466,90,60,13,53,4,0,21,4
1,2013,1,1,1788326445,85,55,42,53,17,0,22,3
1,2012,1,1,1840364617,180,33,38,71,20,0,28,5
1,2023,4,12,143573775,166,57,84,94,11,0,37,9
1,2016,11,25,684675814,160,71,40,50,16,0,16,22
1,2014,1,1,1113838873,160,65,95,80,5,0,41,16
1,2013,1,1,1267333350,92,70,81,63,4,0,8,4
1,2022,3,19,726307468,170,56,53,64,11,0,45,6
1,2017,1,6,3562543890,96,83,93,65,58,0,9,8
2,2023,1,13,307370144,98,70,37,54,6,0,9,8
1,1992,9,21,1271293243,92,53,12,34,1,0,12,4
1,2019,10,18,265882712,150,34,24,56,4,0,11,3
1,2017,3,21,841749534,94,37,17,47,2,46,11,3
1,2023,5,19,47956378,90,74,36,63,26,0,27,5
1,2016,8,20,806397070,160,54,54,55,67,0,42,11
1,2019,8,30,2132335812,120,70,59,75,24,0,9,4
1,2010,1,1,1641426668,109,63,46,85,1,0,9,5
1,2013,9,13,2135158446,129,57,41,66,63,0,12,5
2,2022,12,16,367316268,157,54,75,60,30,0,7,5
1,2021,4,9,350381515,130,63,49,73,5,0,9,3
1,2022,5,6,1264310836,107,65,19,72,10,0,13,25
1,2023,7,7,30343206,146,50,67,89,0,0,19,8
1,2020,2,10,405136812,139,48,37,41,32,0,10,10
1,1968,7,1,1145727611,116,74,76,70,7,0,13,3
1,2010,7,20,540654286,95,84,52,77,12,0,7,4
